Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Hôtel de la Place du Louvre,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.85927849999999,2.3409130000000005,21 rue des Prêtres Saint-Germain l'Auxerrois,75001#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2021-12-29,#https://www.paris-hotel-place-du-louvre.com/,3 étoiles#Classement officiel des hébergements touristiques,"Cet hôtel bénéficie d'un emplacement d'exception dans le cœur historique de Paris. Niché dans une bâtisse du XVIIe siècle, il abrite une vingtaine de chambres cosy, à la décoration unique. Elles offrent une vue remarquable sur l'église Saint-Germain l'Auxerrois et sur la colonnade du Louvre. Une collection de photographies contemporaines, enrichie au fil des années, est exposée dans les lieux. Le petit déjeuner se prend dans une salle voûtée aux pierres apparentes. Le salon de réception est installé sous une belle verrière.",https://data.datatourisme.fr/19/f9c9555e-1ef1-3bef-adec-1bac8a15457d
Hôtel Les Dames du Panthéon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,48.8457057,2.344803299999967,19 place du Panthéon,75005#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2023-01-13,#http://www.hoteldupantheon.com/,4 étoiles#Classement officiel des hébergements touristiques,"Implanté dans le cadre exceptionnel de la place du Panthéon, cet hôtel haut de gamme propose des chambes colorées et élégantes. Leur décoration rend hommage à d'illustres femmes françaises. Les tentures, objets et meubles ont été sélectionnés avec goût. Les chambres du 6e étage sont dotées d'un balcon. Le petit déjeuner est servi dans une salle voûtée, en pierres apparentes. Le bar, aux couleurs chatoyantes, est raffiné et offre une vue sur la place.",https://data.datatourisme.fr/19/6008f406-ec23-3aa1-bc2d-6df6df456f10
Adagio Paris Opéra,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.8728772,2.3282861999999795,43 rue Caumartin,75009#Paris,,,Office de Tourisme de Paris,Office de Tourisme de Paris,2023-07-06,#http://www.adagio-city.com/,4 étoiles#Classement officiel des hébergements touristiques,"Cette résidence de tourisme est idéalement installée en plein cœur de Paris, à quelques pas du Palais Garnier. Ce site exceptionnel, classé monument historique en 1923, met en scène ballets et concerts. A quelques minutes de marche, les Grands Magasins du boulevard Haussmann invitent au shopping. Les studios et appartements, décorés sobrement, sont tous dotés d’une cuisine. Une salle de sport est mise à disposition de la clientèle.",https://data.datatourisme.fr/19/62b92d01-c08c-3b72-8e93-4e578f7935bd
